student,collabs,order
1,[49],1
2,[74],1
3,[124],1
6,"[85, 96, 98]",1
8,"[33, 46]",1
9,[48],1
10,[74],1
11,[111],1
12,"[66, 84, 102]",1
13,[68],1
14,[74],1
15,"[19, 111, 126]",1
17,"[15, 50, 123]",1
18,[74],1
19,"[15, 68, 74]",1
21,"[21, 47, 52, 129]",1
22,"[38, 122]",1
23,[74],1
24,[115],1
25,[44],1
28,[74],1
29,"[79, 119]",1
31,[105],1
33,[8],1
34,[62],1
36,[23],1
37,[74],1
38,"[22, 122]",1
41,[51],1
42,"[97, 127]",1
43,[117],1
44,"[66, 84, 102]",1
45,"[74, 113]",1
46,"[8, 100, 124]",1
47,"[21, 52, 129]",1
48,[65],1
49,"[1, 84]",1
50,"[17, 87, 123]",1
51,[91],1
52,"[21, 47, 129]",1
54,"[42, 127]",1
55,"[118, 125]",1
56,[74],1
58,"[47, 71]",1
59,[74],1
60,[134],1
62,"[34, 88, 116]",1
64,"[110, 116]",1
65,"[37, 48, 127]",1
66,"[44, 84, 115]",1
67,[74],1
68,"[13, 74]",1
70,"[98, 100, 124]",1
71,[58],1
72,[28],1
73,"[95, 112]",1
74,"[19, 53, 82]",1
75,[74],1
76,[74],1
79,[29],1
81,"[70, 132, 134]",1
82,"[74, 92]",1
83,[91],1
84,"[12, 102, 124]",1
85,"[95, 96, 98]",1
87,"[17, 50, 123]",1
88,"[62, 116]",1
92,[82],1
94,[74],1
95,"[73, 112]",1
96,"[95, 98]",1
97,[42],1
98,"[6, 85, 96]",1
99,"[28, 72]",1
100,"[46, 70, 124]",1
100,"[46, 70, 124]",2
101,"[46, 74]",1
102,"[12, 84]",1
103,[91],1
104,[70],1
105,"[31, 90]",1
106,[74],1
107,"[46, 100]",1
108,[74],1
109,[74],1
110,"[64, 111, 126]",1
111,"[15, 74, 126]",1
112,[73],1
113,[45],1
114,[74],1
115,"[24, 74, 126]",1
116,[64],1
117,"[43, 66, 79]",1
118,[55],1
118,[55],2
119,[29],1
120,[14],1
121,[74],1
122,"[22, 38]",1
123,"[17, 50, 87]",1
124,"[46, 74, 100]",1
126,"[15, 111, 115]",1
127,"[42, 54, 65]",1
129,"[21, 47, 52]",1
132,"[74, 81, 134]",1
134,"[60, 81, 132]",1
