"student","hw1","hw2","hw3","hw4","hw5","hw6","hw7","test1","test2","did_drop_after4","did_drop_immediately"
106,30,28,30,30,30,30,30,57,60,FALSE,FALSE
107,30,28,28,30,30,28,30,60,48,FALSE,FALSE
108,26,28,28,30,30,28,28,60,57,FALSE,FALSE
109,22,18,18,22,16,20,30,60,54,FALSE,FALSE
110,24,28,30,26,28,26,30,45,54,FALSE,FALSE
111,24,26,30,28,28,30,28,45,39,FALSE,FALSE
112,28,30,30,30,30,28,28,60,51,FALSE,FALSE
113,28,26,28,30,28,28,30,60,54,FALSE,FALSE
114,18,8,20,8,8,14,20,42,27,FALSE,FALSE
115,30,24,30,28,30,26,26,54,0,FALSE,FALSE
116,24,20,16,20,18,28,22,45,51,FALSE,FALSE
117,30,28,28,30,28,28,30,60,60,FALSE,FALSE
118,26,28,28,28,28,28,28,39,51,FALSE,FALSE
119,26,28,30,28,28,30,26,54,51,FALSE,FALSE
120,26,26,24,26,24,14,18,60,54,FALSE,FALSE
121,30,30,26,28,24,24,18,54,51,FALSE,FALSE
122,26,28,30,24,26,24,26,60,48,FALSE,FALSE
123,30,26,30,28,30,28,28,60,60,FALSE,FALSE
124,28,24,30,30,30,30,30,57,57,FALSE,FALSE
125,26,28,18,20,20,10,0,57,12,FALSE,FALSE
126,28,28,28,28,30,30,28,54,45,FALSE,FALSE
127,30,26,28,30,28,28,30,57,54,FALSE,FALSE
128,0,0,0,0,0,0,0,0,0,TRUE,TRUE
129,28,24,28,28,28,26,22,57,54,FALSE,FALSE
130,0,0,0,0,0,0,0,0,0,TRUE,TRUE
131,0,0,0,0,0,0,0,0,0,TRUE,TRUE
132,26,24,28,24,22,26,18,54,48,FALSE,FALSE
133,10,8,6,0,0,0,0,18,0,TRUE,FALSE
134,28,24,28,28,28,30,26,54,48,FALSE,FALSE
