student,collabs,order
1,"[49, 83, 107]",1
2,"[19, 42, 54]",1
3,[120],1
6,"[85, 96, 98]",1
8,"[33, 46, 79]",1
9,"[48, 97, 100]",1
10,[74],1
11,"[111, 126]",1
12,"[84, 100, 124]",1
13,"[19, 68]",1
14,"[120, 124]",1
15,"[19, 111, 126]",1
17,"[50, 87, 123]",1
18,[41],1
19,"[15, 68, 108]",1
21,"[47, 52, 129]",1
22,"[38, 122]",1
23,[36],1
24,[115],1
24,[115],2
25,"[34, 44]",1
28,"[72, 74]",1
29,"[79, 117, 119]",1
29,"[79, 117, 119]",2
31,"[74, 105]",1
33,[8],1
34,"[25, 62]",1
36,[23],1
37,[65],1
38,"[22, 122]",1
41,"[67, 100]",1
42,"[54, 97, 127]",1
43,[74],1
44,"[12, 100, 124]",1
45,[113],1
46,"[8, 100, 124]",1
47,"[21, 52, 129]",1
48,"[9, 42, 65]",1
49,"[1, 83]",1
50,"[17, 87, 123]",1
51,[120],1
52,"[21, 47, 83]",1
53,"[43, 107]",1
54,"[42, 127]",1
55,"[85, 118]",1
56,"[74, 100]",1
58,"[43, 47, 71]",1
59,"[74, 100, 124]",1
60,"[65, 74, 127, 134]",1
62,"[34, 88]",1
64,"[110, 116]",1
64,"[110, 116]",2
65,"[37, 46, 48]",1
65,"[37, 46, 48]",2
66,"[44, 84, 115]",1
67,[74],1
68,"[13, 19]",1
70,"[94, 98, 132]",1
71,[58],1
72,[28],1
73,"[95, 112]",1
74,"[53, 82, 111]",1
75,[74],1
76,[74],1
79,"[29, 117]",1
81,"[70, 132, 134]",1
82,"[74, 92, 117]",1
83,"[1, 49]",1
84,"[12, 100, 124]",1
85,"[6, 96, 98]",1
87,"[17, 50, 123]",1
88,[62],1
92,[82],1
94,"[70, 74, 132]",1
95,"[73, 112]",1
95,"[73, 98, 112]",2
96,"[6, 85, 98]",1
97,"[9, 42, 100]",1
98,"[6, 85, 96]",1
99,"[28, 72]",1
100,"[46, 70, 124]",1
101,[74],1
101,[74],2
102,"[1, 12, 84]",1
104,"[74, 107, 126]",1
105,"[31, 90]",1
105,"[31, 90]",2
106,[74],1
107,"[1, 46, 95]",1
108,[74],1
109,[74],1
110,[64],1
111,"[15, 73, 126]",1
112,"[73, 95]",1
113,[45],1
114,[3],1
115,"[4, 24, 57, 74]",1
116,[74],1
117,"[29, 43, 79]",1
118,[55],1
119,[29],1
120,[14],1
121,[74],1
122,"[22, 38]",1
123,"[17, 50, 87]",1
124,"[12, 46, 100]",1
126,"[11, 87, 111]",1
127,"[42, 54, 97]",1
129,"[21, 47, 52]",1
132,"[70, 74, 81]",1
134,"[60, 81]",1
134,"[60, 81, 132]",2
