student,collabs,order
1,"[49, 107]",1
2,"[42, 97, 107]",1
3,[91],1
6,"[85, 111, 126]",1
8,[33],1
9,[48],1
10,[10],1
11,"[95, 111, 126]",1
12,"[25, 84, 102]",1
13,[68],1
14,[120],1
15,[19],1
15,[19],2
17,"[50, 87, 123]",1
18,[95],1
19,"[15, 19, 74, 126]",1
21,"[47, 129]",1
22,"[95, 96, 98]",1
23,[36],1
24,"[66, 115]",1
25,"[12, 44, 84]",1
28,"[61, 72]",1
29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 30, 31, 32, 33, 34, 35, 37, 38, 40, 41, 43, 44, 45, 46, 47, 48, 49, 51, 52, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 87, 88, 89, 90, 91, 92, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134]",1
30,"[42, 54, 127]",1
31,"[90, 105]",1
33,[8],1
34,[62],1
36,[23],1
37,[95],1
38,[122],1
41,"[94, 108]",1
42,"[54, 97, 100]",1
43,[117],1
44,"[12, 25]",1
45,"[26, 113]",1
46,"[8, 100, 124]",1
47,"[21, 52, 129]",1
48,"[42, 65, 97]",1
49,[1],1
50,"[17, 87, 123]",1
51,[95],1
52,[47],1
53,"[74, 107]",1
54,[42],1
55,"[118, 125]",1
56,"[24, 115]",1
57,[43],1
58,[71],1
59,[81],1
60,[134],1
62,"[34, 88, 116]",1
64,"[110, 116]",1
65,"[37, 48, 100]",1
66,"[24, 115]",1
67,[75],1
68,[13],1
70,"[84, 100]",1
71,[58],1
72,[28],1
73,"[46, 100, 112]",1
75,[67],1
75,[67],2
75,[74],3
76,[95],1
79,"[29, 117]",1
81,"[126, 132, 134]",1
82,"[74, 117]",1
83,[95],1
84,"[12, 47, 102]",1
85,"[96, 98]",1
87,"[17, 50, 123]",1
88,[62],1
90,[105],1
92,[92],1
94,"[41, 87, 132]",1
95,"[96, 98, 107]",1
96,"[85, 98]",1
97,"[42, 100]",1
98,"[85, 95, 96]",1
99,"[28, 72, 77]",1
100,"[37, 65, 70, 124]",1
101,"[94, 132]",1
102,"[12, 84, 110]",1
103,[95],1
104,[39],1
105,"[31, 90]",1
106,[106],1
107,"[1, 46, 96]",1
108,[95],1
108,[95],2
109,[109],1
110,"[84, 100, 102]",1
111,"[11, 74, 126]",1
112,[73],1
113,"[26, 45]",1
114,[95],1
114,[114],2
115,"[11, 18, 24, 45, 66, 121, 134]",1
116,[64],1
117,"[43, 79]",1
118,"[42, 55, 125]",1
119,[29],1
120,[14],1
121,[95],1
122,[38],1
123,"[17, 50, 87]",1
124,"[70, 84, 100]",1
125,"[55, 118]",1
126,"[11, 81, 111]",1
127,"[30, 42, 54]",1
129,"[21, 47]",1
132,"[70, 81, 134]",1
134,"[60, 81, 132]",1
