student,collabs,order
1,[49],1
2,"[29, 42, 54]",1
3,[54],1
6,"[85, 96, 98]",1
8,"[33, 46, 79]",1
9,"[41, 48]",1
10,[107],1
11,"[111, 126]",1
12,"[84, 100, 124]",1
13,"[19, 68, 76]",1
14,[120],1
15,"[19, 111, 126]",1
17,"[50, 87, 123]",1
18,[74],1
21,"[47, 52, 129]",1
22,"[38, 122]",1
23,[36],1
24,"[114, 115]",1
25,"[34, 44]",1
28,"[74, 99]",1
29,"[79, 117, 119]",1
31,[105],1
33,[8],1
34,"[25, 62]",1
36,[23],1
37,[74],1
38,"[22, 122]",1
41,"[9, 67, 94]",1
42,"[48, 54, 97]",1
43,[117],1
44,"[12, 100, 124]",1
45,[113],1
46,"[8, 100, 124]",1
47,"[21, 52, 129]",1
48,"[9, 42, 65]",1
49,[1],1
50,"[17, 87, 123]",1
51,[94],1
52,"[21, 47, 129]",1
54,"[42, 127]",1
55,"[85, 118]",1
56,"[41, 64, 110]",1
58,"[47, 71]",1
59,[74],1
60,[134],1
62,"[34, 88, 116]",1
64,"[24, 56, 110]",1
65,"[37, 48, 100]",1
66,"[12, 84]",1
67,[41],1
68,"[13, 19, 76]",1
70,"[81, 100, 132]",1
71,[58],1
72,[28],1
73,"[95, 112]",1
74,"[19, 92, 111]",1
75,[101],1
75,[74],2
76,"[13, 19, 68]",1
79,"[8, 29, 117]",1
81,"[116, 132, 134]",1
82,"[19, 74]",1
83,[94],1
84,"[12, 102, 124]",1
85,"[6, 96, 98]",1
87,"[17, 50, 123]",1
88,"[62, 116]",1
92,"[74, 82, 109]",1
94,"[9, 41, 132]",1
95,"[73, 98, 112]",1
96,"[1, 85, 102]",1
97,"[42, 74, 100]",1
98,"[6, 85, 96]",1
99,"[28, 72]",1
100,"[9, 46, 124]",1
100,"[46, 70, 124]",2
101,"[24, 115, 122]",1
102,"[12, 84]",1
104,"[70, 74, 100]",1
105,"[31, 132]",1
106,[74],1
107,[94],1
108,[19],1
109,[62],1
110,"[24, 64, 115]",1
111,"[11, 74, 126]",1
112,"[73, 95]",1
113,[45],1
114,"[24, 115]",1
115,"[24, 74, 101]",1
116,"[62, 64, 132]",1
117,"[29, 43, 79]",1
118,"[55, 85]",1
119,[29],1
120,[14],1
121,[74],1
122,"[22, 38, 101]",1
123,"[17, 50, 87]",1
124,"[12, 46, 100]",1
126,"[11, 15, 111]",1
127,"[42, 54, 97]",1
129,"[21, 47, 52]",1
132,"[70, 81, 134]",1
134,"[60, 81, 132]",1
