student,collabs,order
1,"[49, 83]",1
2,"[29, 42, 54]",1
3,"[100, 114, 124]",1
6,"[85, 96, 98]",1
8,"[29, 33, 79]",1
9,"[48, 65]",1
9,"[48, 65]",2
10,[74],1
11,"[6, 111, 126]",1
12,"[84, 96, 102]",1
13,"[19, 68, 76]",1
13,"[19, 68, 76]",2
14,[124],1
15,"[19, 55, 111, 126]",1
17,"[50, 87, 123]",1
18,[74],1
19,"[74, 74, 108]",1
21,"[47, 52, 129]",1
22,"[38, 109, 122]",1
23,[36],1
24,[115],1
25,"[34, 44, 84]",1
28,"[74, 99]",1
29,"[8, 79, 119]",1
31,[105],1
31,"[74, 105]",2
33,[8],1
33,[8],2
34,"[25, 62]",1
36,"[23, 70]",1
37,[65],1
38,"[22, 109, 122]",1
41,[94],1
42,"[54, 97, 127]",1
43,[117],1
44,[12],1
45,[113],1
45,[113],2
46,"[100, 124]",1
47,"[21, 52, 129]",1
48,"[9, 42, 65]",1
48,"[9, 42, 65]",2
48,"[9, 42, 65]",3
49,"[1, 83]",1
50,"[17, 87, 123]",1
51,[41],1
51,[97],2
52,"[21, 47, 129]",1
52,"[21, 47, 129]",2
53,"[43, 96]",1
54,"[42, 127]",1
54,"[42, 127]",2
55,"[85, 118]",1
56,"[10, 115]",1
57,[43],1
58,[71],1
59,[74],1
60,[134],1
62,"[34, 88, 116]",1
64,[110],1
64,[110],2
65,"[37, 48, 124]",1
66,"[84, 115]",1
67,[74],1
68,"[13, 19, 76]",1
70,"[41, 94, 100]",1
71,[58],1
72,[28],1
73,"[95, 112]",1
74,"[19, 53, 108]",1
75,[67],1
75,[74],2
75,[74],3
76,"[13, 68]",1
76,"[13, 68]",2
79,"[8, 29, 117]",1
81,"[104, 132, 134]",1
82,[74],1
83,"[1, 49]",1
83,"[1, 49]",2
83,"[1, 49]",3
84,"[12, 83, 102]",1
84,"[1, 12, 102]",2
85,"[6, 96, 98]",1
85,"[6, 96, 98]",2
87,"[17, 50, 123]",1
88,"[62, 116]",1
90,[97],1
92,"[97, 109]",1
94,"[41, 70]",1
95,"[21, 43, 73, 98, 112]",1
95,"[73, 98, 112]",2
96,"[85, 102]",1
97,"[42, 92, 100]",1
98,"[6, 85, 96]",1
99,[28],1
99,"[28, 72]",2
100,"[12, 46, 124]",1
101,"[74, 100, 115]",1
102,"[1, 12, 84]",1
104,"[81, 100, 132]",1
105,[31],1
105,[31],2
106,[74],1
107,[97],1
108,[19],1
108,"[19, 74]",2
109,"[38, 92, 122]",1
110,"[64, 100, 114]",1
111,"[11, 19, 126]",1
112,"[73, 95]",1
113,[45],1
114,"[64, 110, 115]",1
115,"[24, 100]",1
116,"[62, 88]",1
117,"[29, 43, 82]",1
118,"[55, 85]",1
118,"[55, 85]",2
119,[29],1
119,[29],2
119,[29],3
120,[74],1
121,[74],1
122,"[22, 38, 109]",1
124,"[46, 65, 100]",1
126,"[6, 11, 111]",1
127,"[42, 54, 74]",1
127,"[42, 54, 74]",2
129,"[21, 47, 52]",1
132,"[70, 81, 134]",1
134,"[60, 81, 132]",1
134,"[60, 81, 132]",2
